CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,NIVEL_DE_FORMACIÓN EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT
3703,3703,institucion universitaria escolme,101633,administracion de empresas,administracion de empresas y derecho,Universitario,antioquia,medellin,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3703,3703,institucion universitaria escolme,101635,contaduria publica,administracion de empresas y derecho,Universitario,antioquia,medellin,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1710,1710,universidad pontificia bolivariana,10164,psicologia,ciencias sociales periodismo e informacion,Universitario,antioquia,medellin,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1711,1711,universidad de la sabana,101640,ciencias politicas,ciencias sociales periodismo e informacion,Universitario,cundinamarca,chia,19032,ciencias politicas,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2840,2840,corporacion universitaria empresarial alexander von humboldt cue,101645,psicologia,ciencias sociales periodismo e informacion,Universitario,quindio,armenia,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1704,1704,universidad santo tomas,101652,psicologia,ciencias sociales periodismo e informacion,Universitario,meta,villavicencio,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1112,1112,universidad de caldas,101663,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,Universitario,caldas,manizales,107709,ingenieria agronomica,Universitario,agropecuario silvicultura pesca y veterinaria,1,antioquia,medellin
2708,2708,universidad ces,101696,administracion de empresas,administracion de empresas y derecho,Universitario,antioquia,medellin,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1201,1201,universidad de antioquia,101698,comunicacion social periodismo,ciencias sociales periodismo e informacion,Universitario,antioquia,turbo,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1201,1201,universidad de antioquia,101699,comunicacion social periodismo,ciencias sociales periodismo e informacion,Universitario,antioquia,andes,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
3720,3720,fundacion universitaria esumer,101728,negocios internacionales,administracion de empresas y derecho,Universitario,antioquia,medellin,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3705,3705,fundacion universitaria tecnologico comfenalco cartagena,101735,ingenieria de procesos,ingenieria industria y construccion,Universitario,bolivar,cartagena de indias,2923,ingenieria de procesos,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2745,2745,fundacion universitaria compensar,101742,ingenieria de sistemas,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2840,2840,corporacion universitaria empresarial alexander von humboldt cue,101747,derecho,administracion de empresas y derecho,Universitario,quindio,armenia,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2815,2815,corporacion universitaria adventista unac,101756,ingenieria de sistemas,ingenieria industria y construccion,Universitario,antioquia,medellin,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
9104,9104,escuela militar de cadetes general jose maria cordova,101758,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1701,1701,pontificia universidad javeriana,101770,derecho,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2832,2832,universidad de santander udes,101773,contaduria publica,administracion de empresas y derecho,Universitario,santander,bucaramanga,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1201,1201,universidad de antioquia,101792,derecho,administracion de empresas y derecho,Universitario,antioquia,amalfi,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1201,1201,universidad de antioquia,101793,derecho,administracion de empresas y derecho,Universitario,antioquia,yarumal,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1701,1702,pontificia universidad javeriana,101827,negocios internacionales,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1704,1732,universidad santo tomas,101838,negocios internacionales,administracion de empresas y derecho,Universitario,boyaca,tunja,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1720,1720,universidad mariana,101855,comunicacion social,ciencias sociales periodismo e informacion,Universitario,narino,pasto,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2850,2850,corporacion universitaria antonio jose de sucre corposucre,101856,administracion de negocios internacionales,administracion de empresas y derecho,Universitario,sucre,sincelejo,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2847,2847,universidad de investigacion y desarrollo udi,101862,psicologia,ciencias sociales periodismo e informacion,Universitario,santander,barrancabermeja,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2850,2850,corporacion universitaria antonio jose de sucre corposucre,101863,derecho,administracion de empresas y derecho,Universitario,bolivar,cartagena de indias,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1823,1823,universidad autonoma de bucaramanga unab,101878,negocios internacionales,administracion de empresas y derecho,Universitario,santander,bucaramanga,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1711,1711,universidad de la sabana,101896,administracion de mercadeo y logistica internacionales,administracion de empresas y derecho,Universitario,cundinamarca,chia,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2850,2850,corporacion universitaria antonio jose de sucre corposucre,101912,derecho,administracion de empresas y derecho,Universitario,sucre,sincelejo,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2731,2731,fundacion universitaria catolica lumen gentium unicatolica cali,101913,psicologia,ciencias sociales periodismo e informacion,Universitario,valle del cauca,santiago de cali,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
3104,3104,colegio mayor del cauca,101922,administracion financiera,administracion de empresas y derecho,Universitario,cauca,popayan,102816,finanzas,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2847,2847,universidad de investigacion y desarrollo udi,101933,ingenieria de sistemas,ingenieria industria y construccion,Universitario,santander,san gil,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
4826,4826,corporacion universitaria regional del caribe iafic,101937,derecho,administracion de empresas y derecho,Universitario,bolivar,cartagena de indias,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1728,1728,universidad sergio arboleda,101940,administracion de negocios,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2728,2737,fundacion universitaria del area andina,101943,administracion financiera,administracion de empresas y derecho,Universitario,risaralda,pereira,102816,finanzas,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1712,1712,universidad eafit,101947,biologia,ciencias naturales matematicas y estadistica,Universitario,antioquia,medellin,101947,biologia,Universitario,ciencias naturales matematicas y estadistica,1,antioquia,medellin
2850,2850,corporacion universitaria antonio jose de sucre corposucre,101959,ingenieria de sistemas,ingenieria industria y construccion,Universitario,bolivar,cartagena de indias,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1709,1709,universidad central,101976,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9900,9900,corporacion universitaria u de colombia,101979,derecho,administracion de empresas y derecho,Universitario,antioquia,medellin,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2813,2813,universidad eia,101988,ingenieria de sistemas y computacion,tecnologias de la informacion y la comunicacion tic,Universitario,antioquia,medellin,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
3720,3720,fundacion universitaria esumer,101999,administracion de empresas,administracion de empresas y derecho,Universitario,antioquia,medellin,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2747,2747,institucion universitaria vision de las americas,102000,administracion de mercadeo,administracion de empresas y derecho,Universitario,antioquia,medellin,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1713,1713,universidad del norte,102003,contaduria publica,administracion de empresas y derecho,Universitario,atlantico,barranquilla,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2747,2747,institucion universitaria vision de las americas,102020,administracion de negocios internacionales,administracion de empresas y derecho,Universitario,antioquia,medellin,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2850,2850,corporacion universitaria antonio jose de sucre corposucre,102051,ingenieria de sistemas,ingenieria industria y construccion,Universitario,sucre,sincelejo,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2850,2850,corporacion universitaria antonio jose de sucre corposucre,102056,administracion de empresas,administracion de empresas y derecho,Universitario,sucre,sincelejo,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1833,1833,corporacion universidad del sinu elias bechara zainum unisinu,102061,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2847,2847,universidad de investigacion y desarrollo udi,102063,ingenieria de sistemas,ingenieria industria y construccion,Universitario,santander,barrancabermeja,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2812,2812,universidad ean,102065,economia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,3182,economia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2813,2813,universidad eia,102066,ingenieria geologica,ingenieria industria y construccion,Universitario,antioquia,medellin,1247,ingenieria civil,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2719,2719,universidad catolica luis amigo,102071,comunicacion social,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
3201,3201,unidades tecnologicas de santander,102103,ingenieria de sistemas,ingenieria industria y construccion,Universitario,norte de santander,san jose de cucuta,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1805,1829,universidad santiago de cali,102107,administracion de empresas,administracion de empresas y derecho,Universitario,valle del cauca,palmira,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
4110,4110,instituto tolimense de formacion tecnica profesional,102122,ingenieria de sistemas,ingenieria industria y construccion,Universitario,tolima,espinal,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2812,2812,universidad ean,102126,ingenieria de produccion,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1249,ingenieria de produccion,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1701,1702,pontificia universidad javeriana,10213,derecho,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2812,2812,universidad ean,102139,ingenieria de sistemas,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
3204,3204,tecnologico de antioquia,102143,contaduria publica,administracion de empresas y derecho,Universitario,antioquia,medellin,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1804,1804,universidad autonoma del caribe uniautonoma,102146,ciencias politicas,ciencias sociales periodismo e informacion,Universitario,atlantico,barranquilla,19032,ciencias politicas,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
9902,9902,fundacion universitaria comfenalco santander,102169,logistica y mercadeo organizacional,administracion de empresas y derecho,Universitario,santander,bucaramanga,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9131,9131,fundacion universitaria cervantes san agustin unicervantes,102180,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
