CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT,Unnamed: 14,Puntuación total calulada,Nivel de afinidad calculada,SIMILITUD_COSENO,NIVEL_AFINIDAD_CALIBRADO
3831.0,3831.0,corporacion universitaria comfacauca unicomfacauca,101439,comunicacion social y periodismo,ciencias sociales periodismo e informacion,cauca,popayan,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.7833041,MEDIO
2745.0,2745.0,fundacion universitaria compensar,101451,profesional en banca y finanzas,administracion de empresas y derecho,bogota d c,bogota d c,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.74583566,MEDIO
2847.0,2847.0,universidad de investigacion y desarrollo udi,101453,psicologia,ciencias sociales periodismo e informacion,santander,san gil,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.9999999,ALTO
3705.0,3705.0,fundacion universitaria tecnologico comfenalco cartagena,101462,psicologia,ciencias sociales periodismo e informacion,bolivar,cartagena de indias,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.9999999,ALTO
2701.0,2701.0,institucion universitaria colegios de colombia unicoc,101465,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2701.0,2701.0,institucion universitaria colegios de colombia unicoc,101466,administracion de empresas,administracion de empresas y derecho,valle del cauca,santiago de cali,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
9119.0,9119.0,corporacion universitaria americana,101479,contaduria publica,administracion de empresas y derecho,antioquia,medellin,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
9119.0,9119.0,corporacion universitaria americana,101481,negocios internacionales,administracion de empresas y derecho,antioquia,medellin,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
2725.0,2725.0,politecnico grancolombiano,101492,negocios internacionales,administracion de empresas y derecho,bogota d c,bogota d c,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
4813.0,4813.0,corporacion unificada nacional de educacion superior cun,101496,comunicacion social,ciencias sociales periodismo e informacion,magdalena,santa marta,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.99999994,ALTO
