CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT,Unnamed: 14,Puntuación total calulada,Nivel de afinidad calculada,SIMILITUD_COSENO,NIVEL_AFINIDAD_CALIBRADO
2810.0,2810.0,corporacion universidad de la costa cuc,110401,contaduria publica,administracion de empresas y derecho,atlantico,barranquilla,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
9924.0,9924.0,fundacion universitaria internacional de colombia unincol,110403,administracion de negocios internacionales,administracion de empresas y derecho,bogota d c,bogota d c,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9148377,ALTO
2830.0,2830.0,corporacion universitaria iberoamericana,110413,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2810.0,2810.0,corporacion universidad de la costa cuc,110429,ingenieria de sistemas,ingenieria industria y construccion,atlantico,barranquilla,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
1728.0,1728.0,universidad sergio arboleda,110521,marketing integral y negocios globales,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,4,alto,0.55581284,MUY BAJO
2102.0,2102.0,universidad nacional abierta y a distancia unad,110569,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.99999994,ALTO
1832.0,1832.0,universidad tecnologica de bolivar,11057,ingenieria civil,ingenieria industria y construccion,bolivar,cartagena de indias,1247,ingenieria civil,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000002,ALTO
9119.0,9119.0,corporacion universitaria americana,110576,psicologia,ciencias sociales periodismo e informacion,antioquia,medellin,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
2831.0,2831.0,corporacion universitaria de ciencia y desarrollo uniciencia,11058,administracion de empresas,administracion de empresas y derecho,cordoba,monteria,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
9904.0,9904.0,fundacion universitaria colombo germana,110604,contaduria publica,administracion de empresas y derecho,bogota d c,bogota d c,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
2733.0,2733.0,fundacion universitaria san alfonso fusa,110614,psicologia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
3201.0,3201.0,unidades tecnologicas de santander,110617,mercadeo,administracion de empresas y derecho,santander,bucaramanga,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,1,bajo,1.0,ALTO
1703.0,1703.0,universidad incca de colombia,11062,derecho,administracion de empresas y derecho,antioquia,turbo,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
1711.0,1711.0,universidad de la sabana,110623,ingenieria de bioproduccion,ingenieria industria y construccion,cundinamarca,chia,1249,ingenieria de produccion,ingenieria industria y construccion,1,antioquia,medellin,,"4,2",alto,0.609449,MUY BAJO
2701.0,2701.0,institucion universitaria colegios de colombia unicoc,110629,ingenieria quimica,ingenieria industria y construccion,cundinamarca,chia,2923,ingenieria de procesos,ingenieria industria y construccion,1,antioquia,medellin,,2,bajo,0.7322706,MEDIO
1110.0,1110.0,universidad del cauca,11068,musica instrumental,arte y humanidades,cauca,popayan,4959,musica,arte y humanidades,1,antioquia,medellin,,"1,4",bajo,0.7665534,MEDIO
2745.0,2745.0,fundacion universitaria compensar,110685,administracion financiera,administracion de empresas y derecho,bogota d c,bogota d c,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.81620526,ALTO
1203.0,1203.0,universidad del valle,110693,comunicacion social periodismo,ciencias sociales periodismo e informacion,valle del cauca,santiago de cali,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,4",bajo,0.7771944,MEDIO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,110698,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9486653,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,110700,ingenieria de sistemas,ingenieria industria y construccion,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,8",medio,1.0000001,ALTO
4813.0,4813.0,corporacion unificada nacional de educacion superior cun,110709,administracion de empresas,administracion de empresas y derecho,cundinamarca,soacha,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2738.0,2738.0,fundacion universitaria empresarial de la camara de comercio de bogota uniempresarial,110720,diseno de producto,arte y humanidades,bogota d c,bogota d c,7446,ingenieria de diseno de producto,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,0.9255155,ALTO
3710.0,3710.0,fundacion universitaria antonio de arevalo unitecnar,110756,contaduria publica,administracion de empresas y derecho,bolivar,cartagena de indias,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
1203.0,1203.0,universidad del valle,110769,ingenieria geomatica,ingenieria industria y construccion,valle del cauca,santiago de cali,1251,geologia,ciencias naturales matematicas y estadistica,1,antioquia,medellin,,"1,4",bajo,0.68566054,BAJO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,110771,psicologia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,0.9999999,ALTO
2848.0,2848.0,corporacion universitaria unitec,110798,administracion de negocios,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,1.0,ALTO
2712.0,2712.0,fundacion universitaria konrad lorenz,110810,marketing,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.65208584,BAJO
9904.0,9904.0,fundacion universitaria colombo germana,110813,derecho,ciencias sociales periodismo e informacion,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
1729.0,1729.0,universidad el bosque,110821,ciencia politica y gobierno,ciencias sociales periodismo e informacion,cundinamarca,chia,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,0.9182732,ALTO
1734.0,1734.0,universidad de boyaca uniboyaca,110828,contaduria publica,administracion de empresas y derecho,boyaca,tunja,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
1801.0,1801.0,universidad la gran colombia,11084,ingenieria civil,ingenieria industria y construccion,bolivar,cartagena de indias,1247,ingenieria civil,ingenieria industria y construccion,1,antioquia,medellin,,"1,6",bajo,1.0000002,ALTO
2830.0,2830.0,corporacion universitaria iberoamericana,110842,ingenieria de sistemas,ingenieria industria y construccion,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
2830.0,2830.0,corporacion universitaria iberoamericana,110844,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
1207.0,1207.0,universidad del tolima,110858,fisica,ciencias naturales matematicas y estadistica,tolima,ibague,17581,ingenieria fisica,ingenieria industria y construccion,1,antioquia,medellin,,"1,4",bajo,0.7594962,MEDIO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,110873,psicologia,ciencias sociales periodismo e informacion,santander,bucaramanga,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
2302.0,2302.0,institucion universitaria de envigado,110882,ingenieria de sistemas,tecnologias de la informacion y la comunicacion tic,antioquia,envigado,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,2,bajo,1.0000001,ALTO
1729.0,1729.0,universidad el bosque,110885,economia,administracion de empresas y derecho,bogota d c,bogota d c,3182,economia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,0.99999994,ALTO
9914.0,9914.0,eseit escuela superior de empresa ingenieria y tecnologia,110907,publicidad y mercadeo,arte y humanidades,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.643806,BAJO
2728.0,2728.0,fundacion universitaria del area andina,110916,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,8",medio,0.99999994,ALTO
2810.0,2810.0,corporacion universidad de la costa cuc,110955,derecho,administracion de empresas y derecho,atlantico,barranquilla,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
1801.0,1801.0,universidad la gran colombia,11097,ingenieria civil,ingenieria industria y construccion,bolivar,cartagena de indias,1247,ingenieria civil,ingenieria industria y construccion,1,antioquia,medellin,,"1,6",bajo,1.0000002,ALTO
1805.0,1805.0,universidad santiago de cali,110981,administracion de empresas,administracion de empresas y derecho,valle del cauca,santiago de cali,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486653,ALTO
1805.0,1805.0,universidad santiago de cali,110982,ingenieria quimica,ingenieria industria y construccion,valle del cauca,santiago de cali,2923,ingenieria de procesos,ingenieria industria y construccion,1,antioquia,medellin,,3,medio,0.7322706,MEDIO
2820.0,2820.0,corporacion universitaria lasallista,110988,administracion de empresas,administracion de empresas y derecho,antioquia,caldas,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9486653,ALTO
1805.0,1805.0,universidad santiago de cali,110991,contaduria publica,administracion de empresas y derecho,valle del cauca,santiago de cali,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
2713.0,2713.0,fundacion universitaria los libertadores,110992,publicidad y mercadeo,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.643806,BAJO
4813.0,4813.0,corporacion unificada nacional de educacion superior cun,110996,comunicacion social,ciencias sociales periodismo e informacion,bogota d c,bogota d c,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
1706.0,1706.0,universidad externado de colombia,1110,comunicacion social periodismo,ciencias sociales periodismo e informacion,bogota d c,bogota d c,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"4,3",alto,0.7771944,MEDIO
1805.0,1805.0,universidad santiago de cali,111001,derecho,administracion de empresas y derecho,valle del cauca,santiago de cali,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2810.0,2810.0,corporacion universidad de la costa cuc,111010,negocios internacionales,administracion de empresas y derecho,meta,villavicencio,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
2745.0,2745.0,fundacion universitaria compensar,111014,administracion financiera,administracion de empresas y derecho,bogota d c,bogota d c,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.81620526,ALTO
2712.0,2712.0,fundacion universitaria konrad lorenz,111022,marketing,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.65208584,BAJO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111040,ingenieria de sistemas,ingenieria industria y construccion,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,8",medio,1.0000001,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111044,ingenieria de sistemas,ingenieria industria y construccion,huila,neiva,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
1728.0,1728.0,universidad sergio arboleda,111047,comunicacion social y periodismo digital,ciencias sociales periodismo e informacion,atlantico,barranquilla,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.7387037,MEDIO
2828.0,2828.0,corporacion universitaria del huila corhuila,111048,administracion financiera y bursatil,administracion de empresas y derecho,huila,neiva,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,0.7633418,MEDIO
9914.0,9914.0,eseit escuela superior de empresa ingenieria y tecnologia,111071,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486653,ALTO
2820.0,2820.0,corporacion universitaria lasallista,111074,administracion de empresas,administracion de empresas y derecho,antioquia,caldas,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9486653,ALTO
4813.0,4813.0,corporacion unificada nacional de educacion superior cun,111075,comunicacion social,ciencias sociales periodismo e informacion,bogota d c,bogota d c,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
1735.0,1735.0,universidad manuela beltran umb,111088,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,8",medio,0.99999994,ALTO
9900.0,9900.0,corporacion universitaria u de colombia,111099,derecho,administracion de empresas y derecho,antioquia,medellin,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2725.0,2725.0,politecnico grancolombiano,111116,diseno interactivo,arte y humanidades,bogota d c,bogota d c,109150,diseno interactivo,arte y humanidades,1,antioquia,medellin,,"2,2",bajo,1.0,ALTO
9914.0,9914.0,eseit escuela superior de empresa ingenieria y tecnologia,111119,negocios internacionales,administracion de empresas y derecho,bogota d c,bogota d c,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
1728.0,1733.0,universidad sergio arboleda,111176,contaduria publica,administracion de empresas y derecho,magdalena,santa marta,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
1815.0,1815.0,corporacion universidad piloto de colombia,111183,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9486653,ALTO
1815.0,1815.0,corporacion universidad piloto de colombia,111184,contaduria publica,administracion de empresas y derecho,bogota d c,bogota d c,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,3,alto,1.0000001,ALTO
1815.0,1815.0,corporacion universidad piloto de colombia,111185,marketing,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.65208584,BAJO
1815.0,1815.0,corporacion universidad piloto de colombia,111186,negocios internacionales,administracion de empresas y derecho,bogota d c,bogota d c,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9999999,ALTO
4726.0,4726.0,fundacion universitaria san mateo san mateo educacion superior,111192,psicologia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
1706.0,1706.0,universidad externado de colombia,1112,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"4,8",alto,0.99999994,ALTO
4709.0,4709.0,institucion universitaria eam,111201,publicidad digital y mercadeo,administracion de empresas y derecho,quindio,armenia,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.5552337,MUY BAJO
1711.0,1711.0,universidad de la sabana,11123,administracion de negocios internacionales,administracion de empresas y derecho,cundinamarca,chia,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,4,alto,0.9148377,ALTO
2725.0,2725.0,politecnico grancolombiano,111231,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
3710.0,3710.0,fundacion universitaria antonio de arevalo unitecnar,111240,administracion de negocios internacionales,administracion de empresas y derecho,bolivar,cartagena de indias,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9148377,ALTO
3710.0,3710.0,fundacion universitaria antonio de arevalo unitecnar,111243,administracion de empresas,administracion de empresas y derecho,bolivar,cartagena de indias,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2719.0,2719.0,universidad catolica luis amigo,111248,administracion de empresas,administracion de empresas y derecho,caldas,manizales,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486653,ALTO
9119.0,9119.0,corporacion universitaria americana,111263,psicologia,ciencias sociales periodismo e informacion,cordoba,monteria,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.9999999,ALTO
9924.0,9924.0,fundacion universitaria internacional de colombia unincol,111274,ingenieria de sistemas,ingenieria industria y construccion,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111282,psicologia,ciencias sociales periodismo e informacion,tolima,ibague,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111290,ingenieria de sistemas,ingenieria industria y construccion,tolima,ibague,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
1706.0,1706.0,universidad externado de colombia,1113,economia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,3182,economia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"4,8",alto,0.99999994,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111301,psicologia,ciencias sociales periodismo e informacion,atlantico,barranquilla,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
2842.0,2842.0,corporacion universitaria reformada cur,111306,derecho,administracion de empresas y derecho,atlantico,barranquilla,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,0.99999994,ALTO
2713.0,2713.0,fundacion universitaria los libertadores,11131,contaduria publica,administracion de empresas y derecho,sucre,sincelejo,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
9900.0,9900.0,corporacion universitaria u de colombia,111311,contaduria publica,administracion de empresas y derecho,antioquia,medellin,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
2731.0,2731.0,fundacion universitaria catolica lumen gentium unicatolica cali,11132,administracion empresarial,administracion de empresas y derecho,valle del cauca,santiago de cali,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.98682797,ALTO
1728.0,1728.0,universidad sergio arboleda,111328,finanzas fintech y comercio exterior,administracion de empresas y derecho,magdalena,santa marta,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.72274256,MEDIO
1214.0,1214.0,universidad de cundinamarca,111350,ingenieria de sistemas y computacion,tecnologias de la informacion y la comunicacion tic,cundinamarca,chia,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,1,bajo,0.9084426,ALTO
4719.0,4719.0,fundacion de educacion superior nueva america,111357,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111377,contaduria publica,administracion de empresas y derecho,tolima,ibague,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111381,psicologia,ciencias sociales periodismo e informacion,risaralda,pereira,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,0.9999999,ALTO
4719.0,4719.0,fundacion de educacion superior nueva america,111387,contaduria publica,administracion de empresas y derecho,bogota d c,bogota d c,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
4719.0,4719.0,fundacion de educacion superior nueva america,111388,contaduria publica,administracion de empresas y derecho,bogota d c,bogota d c,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
4719.0,4719.0,fundacion de educacion superior nueva america,111393,ingenieria de sistemas,tecnologias de la informacion y la comunicacion tic,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
4719.0,4719.0,fundacion de educacion superior nueva america,111394,ingenieria de sistemas,tecnologias de la informacion y la comunicacion tic,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111429,ciencias politicas,ciencias sociales periodismo e informacion,bogota d c,bogota d c,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,1.0,ALTO
3204.0,3204.0,tecnologico de antioquia,111441,psicologia,ciencias sociales periodismo e informacion,antioquia,medellin,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
2831.0,2831.0,corporacion universitaria de ciencia y desarrollo uniciencia,111473,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
1118.0,1118.0,universidad tecnologica del choco diego luis cordoba,111474,contaduria publica,administracion de empresas y derecho,choco,quibdo,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,1,alto,1.0000001,ALTO
1826.0,1826.0,universidad antonio narino,11148,administracion de empresas,administracion de empresas y derecho,norte de santander,san jose de cucuta,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
1734.0,1734.0,universidad de boyaca uniboyaca,111484,administracion de negocios internacionales,administracion de empresas y derecho,boyaca,tunja,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9148377,ALTO
1706.0,1706.0,universidad externado de colombia,1115,administracion de empresas,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,5,alto,0.9486652,ALTO
3718.0,3718.0,fundacion de estudios superiores comfanorte f e s c,111512,administracion financiera,administracion de empresas y derecho,norte de santander,san jose de cucuta,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,0.81620526,ALTO
1734.0,1734.0,universidad de boyaca uniboyaca,111530,administracion de negocios internacionales,administracion de empresas y derecho,boyaca,tunja,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9148377,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111541,administracion de empresas,administracion de empresas y derecho,risaralda,pereira,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9486652,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111542,psicologia,ciencias sociales periodismo e informacion,meta,villavicencio,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999998,ALTO
1816.0,1816.0,universidad cooperativa de colombia,111570,psicologia,ciencias sociales periodismo e informacion,cordoba,monteria,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999998,ALTO
2810.0,2810.0,corporacion universidad de la costa cuc,111572,psicologia,ciencias sociales periodismo e informacion,meta,villavicencio,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999998,ALTO
2721.0,2721.0,fundacion universitaria maria cano,111579,psicologia,ciencias sociales periodismo e informacion,antioquia,medellin,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
3803.0,3803.0,corporacion universitaria centro superior unicuces,111580,derecho,administracion de empresas y derecho,valle del cauca,santiago de cali,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,0.99999994,ALTO
4111.0,4111.0,institucion universitaria del caribe,111587,contaduria publica,administracion de empresas y derecho,magdalena,aracataca,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,1,alto,1.0000001,ALTO
1710.0,1710.0,universidad pontificia bolivariana,11160,psicologia,ciencias sociales periodismo e informacion,antioquia,yarumal,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,0.9999999,ALTO
9900.0,9900.0,corporacion universitaria u de colombia,111603,derecho,administracion de empresas y derecho,antioquia,medellin,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111612,administracion de empresas,administracion de empresas y derecho,tolima,ibague,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
9913.0,9913.0,corporacion universitaria de asturias,111623,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2805.0,2805.0,universidad simon bolivar,111642,marketing y negocios digitales,administracion de empresas y derecho,atlantico,barranquilla,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.53025615,MUY BAJO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111653,marketing,administracion de empresas y derecho,bogota d c,bogota d c,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.65208584,BAJO
1826.0,1826.0,universidad antonio narino,11166,administracion de empresas,administracion de empresas y derecho,caldas,manizales,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2732.0,2732.0,fundacion universitaria catolica del norte,111669,ciencias politicas,ciencias sociales periodismo e informacion,antioquia,santa rosa de osos,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,1.0,ALTO
2829.0,2829.0,corporacion universitaria minuto de dios uniminuto,111671,contaduria publica,administracion de empresas y derecho,cundinamarca,madrid,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
2731.0,2731.0,fundacion universitaria catolica lumen gentium unicatolica cali,111676,estudios politicos,ciencias sociales periodismo e informacion,valle del cauca,santiago de cali,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.9539145,ALTO
