Codigo EAFIT,Nombre Programa EAFIT,ESTADO_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN
53502,maestria en estudios humanisticos,activo,arte y humanidades,Maestría
116162,maestria en estudios juridicos,activo,administracion de empresas y derecho,Maestría
20525,maestria en finanzas,inactivo,administracion de empresas y derecho,Maestría
118133,maestria en finanzas sostenibles y cambio climatico,activo,administracion de empresas y derecho,Maestría
90658,maestria en fisica aplicada,activo,ciencias naturales matematicas y estadistica,Maestría
91250,maestria en gerencia de empresas sociales para la innovacion social y el desarrollo local,activo,administracion de empresas y derecho,Maestría
111739,maestria en gerencia de la innovacion y el conocimiento,activo,administracion de empresas y derecho,Maestría
109479,maestria en gerencia de proyectos,activo,administracion de empresas y derecho,Maestría
102382,maestria en gobierno y politicas publicas,activo,ciencias sociales periodismo e informacion,Maestría
54790,maestria en hermeneutica literaria,activo,arte y humanidades,Maestría
19886,maestria en ingenieria,activo,ingenieria industria y construccion,Maestría
13438,maestria en ingenieria de procesamiento de polimeros,inactivo,ingenieria industria y construccion,Maestría
4554,maestria en ingenieria informatica,inactivo,tecnologias de la informacion y la comunicacion tic,Maestría
11196,maestria en ingenieria sismo resistente,inactivo,ingenieria industria y construccion,Maestría
108744,maestria en lectura y escritura,activo,arte y humanidades,Maestría
116836,maestria en literatura,activo,arte y humanidades,Maestría
1266,maestria en matematicas aplicadas,activo,ciencias naturales matematicas y estadistica,Maestría
107872,maestria en mercadeo,activo,administracion de empresas y derecho,Maestría
53159,maestria en musica,activo,arte y humanidades,Maestría
90744,maestria en negocios internacionales,inactivo,administracion de empresas y derecho,Maestría
102721,maestria en procesos urbanos y ambientales,activo,ingenieria industria y construccion,Maestría
109347,maestria en psicologia del trabajo y de las organizaciones,activo,ciencias sociales periodismo e informacion,Maestría
111160,maestria en sostenibilidad,activo,administracion de empresas y derecho,Maestría
107471,maestria gerencia integral por procesos mgip,activo,administracion de empresas y derecho,Maestría
106533,master of international business mib,activo,ciencias sociales periodismo e informacion,Maestría
53158,especializacion de mantenimiento industrial,inactivo,ingenieria industria y construccion,Especialización universitaria
21540,especializacion en administracion,inactivo,administracion de empresas y derecho,Especialización universitaria
91521,especializacion en administracion de riesgos y seguros,inactivo,administracion de empresas y derecho,Especialización universitaria
